dgns_cd,description,hccesrdv21,hcc22,hccrxv05,hccesrd,hcc,hccrx,fyear
M05142,Rheumatoid lung disease with rheumatoid arthritis of left hand,40,40,83,Yes,Yes,Yes,2018
M05149,Rheumatoid lung disease with rheumatoid arthritis of unspecified hand,40,40,83,Yes,Yes,Yes,2018
M05151,Rheumatoid lung disease with rheumatoid arthritis of right hip,40,40,83,Yes,Yes,Yes,2018
M05152,Rheumatoid lung disease with rheumatoid arthritis of left hip,40,40,83,Yes,Yes,Yes,2018
M05159,Rheumatoid lung disease with rheumatoid arthritis of unspecified hip,40,40,83,Yes,Yes,Yes,2018
M05161,Rheumatoid lung disease with rheumatoid arthritis of right knee,40,40,83,Yes,Yes,Yes,2018
M05162,Rheumatoid lung disease with rheumatoid arthritis of left knee,40,40,83,Yes,Yes,Yes,2018
M05169,Rheumatoid lung disease with rheumatoid arthritis of unspecified knee,40,40,83,Yes,Yes,Yes,2018
M05171,Rheumatoid lung disease with rheumatoid arthritis of right ankle and foot,40,40,83,Yes,Yes,Yes,2018
M05172,Rheumatoid lung disease with rheumatoid arthritis of left ankle and foot,40,40,83,Yes,Yes,Yes,2018
M05179,Rheumatoid lung disease with rheumatoid arthritis of unspecified ankle and foot,40,40,83,Yes,Yes,Yes,2018
M0519,Rheumatoid lung disease with rheumatoid arthritis of multiple sites,40,40,83,Yes,Yes,Yes,2018
M0520,Rheumatoid vasculitis with rheumatoid arthritis of unspecified site,40,40,83,Yes,Yes,Yes,2018
M05211,Rheumatoid vasculitis with rheumatoid arthritis of right shoulder,40,40,83,Yes,Yes,Yes,2018
M05212,Rheumatoid vasculitis with rheumatoid arthritis of left shoulder,40,40,83,Yes,Yes,Yes,2018
M05219,Rheumatoid vasculitis with rheumatoid arthritis of unspecified shoulder,40,40,83,Yes,Yes,Yes,2018
M05221,Rheumatoid vasculitis with rheumatoid arthritis of right elbow,40,40,83,Yes,Yes,Yes,2018
M05222,Rheumatoid vasculitis with rheumatoid arthritis of left elbow,40,40,83,Yes,Yes,Yes,2018
M05229,Rheumatoid vasculitis with rheumatoid arthritis of unspecified elbow,40,40,83,Yes,Yes,Yes,2018
M05231,Rheumatoid vasculitis with rheumatoid arthritis of right wrist,40,40,83,Yes,Yes,Yes,2018
M05232,Rheumatoid vasculitis with rheumatoid arthritis of left wrist,40,40,83,Yes,Yes,Yes,2018
M05239,Rheumatoid vasculitis with rheumatoid arthritis of unspecified wrist,40,40,83,Yes,Yes,Yes,2018
M05241,Rheumatoid vasculitis with rheumatoid arthritis of right hand,40,40,83,Yes,Yes,Yes,2018
M05242,Rheumatoid vasculitis with rheumatoid arthritis of left hand,40,40,83,Yes,Yes,Yes,2018
M05249,Rheumatoid vasculitis with rheumatoid arthritis of unspecified hand,40,40,83,Yes,Yes,Yes,2018
M05251,Rheumatoid vasculitis with rheumatoid arthritis of right hip,40,40,83,Yes,Yes,Yes,2018
M05252,Rheumatoid vasculitis with rheumatoid arthritis of left hip,40,40,83,Yes,Yes,Yes,2018
M05259,Rheumatoid vasculitis with rheumatoid arthritis of unspecified hip,40,40,83,Yes,Yes,Yes,2018
M05261,Rheumatoid vasculitis with rheumatoid arthritis of right knee,40,40,83,Yes,Yes,Yes,2018
M05262,Rheumatoid vasculitis with rheumatoid arthritis of left knee,40,40,83,Yes,Yes,Yes,2018
M05269,Rheumatoid vasculitis with rheumatoid arthritis of unspecified knee,40,40,83,Yes,Yes,Yes,2018
M05271,Rheumatoid vasculitis with rheumatoid arthritis of right ankle and foot,40,40,83,Yes,Yes,Yes,2018
M05272,Rheumatoid vasculitis with rheumatoid arthritis of left ankle and foot,40,40,83,Yes,Yes,Yes,2018
M05279,Rheumatoid vasculitis with rheumatoid arthritis of unspecified ankle and foot,40,40,83,Yes,Yes,Yes,2018
M0529,Rheumatoid vasculitis with rheumatoid arthritis of multiple sites,40,40,83,Yes,Yes,Yes,2018
M0530,Rheumatoid heart disease with rheumatoid arthritis of unspecified site,40,40,83,Yes,Yes,Yes,2018
M05311,Rheumatoid heart disease with rheumatoid arthritis of right shoulder,40,40,83,Yes,Yes,Yes,2018
M05312,Rheumatoid heart disease with rheumatoid arthritis of left shoulder,40,40,83,Yes,Yes,Yes,2018
M05319,Rheumatoid heart disease with rheumatoid arthritis of unspecified shoulder,40,40,83,Yes,Yes,Yes,2018
M05321,Rheumatoid heart disease with rheumatoid arthritis of right elbow,40,40,83,Yes,Yes,Yes,2018
M05322,Rheumatoid heart disease with rheumatoid arthritis of left elbow,40,40,83,Yes,Yes,Yes,2018
M05329,Rheumatoid heart disease with rheumatoid arthritis of unspecified elbow,40,40,83,Yes,Yes,Yes,2018
M05331,Rheumatoid heart disease with rheumatoid arthritis of right wrist,40,40,83,Yes,Yes,Yes,2018
M05332,Rheumatoid heart disease with rheumatoid arthritis of left wrist,40,40,83,Yes,Yes,Yes,2018
M05339,Rheumatoid heart disease with rheumatoid arthritis of unspecified wrist,40,40,83,Yes,Yes,Yes,2018
M05341,Rheumatoid heart disease with rheumatoid arthritis of right hand,40,40,83,Yes,Yes,Yes,2018
M05342,Rheumatoid heart disease with rheumatoid arthritis of left hand,40,40,83,Yes,Yes,Yes,2018
M05349,Rheumatoid heart disease with rheumatoid arthritis of unspecified hand,40,40,83,Yes,Yes,Yes,2018
M05351,Rheumatoid heart disease with rheumatoid arthritis of right hip,40,40,83,Yes,Yes,Yes,2018
M05352,Rheumatoid heart disease with rheumatoid arthritis of left hip,40,40,83,Yes,Yes,Yes,2018
M05359,Rheumatoid heart disease with rheumatoid arthritis of unspecified hip,40,40,83,Yes,Yes,Yes,2018
M05361,Rheumatoid heart disease with rheumatoid arthritis of right knee,40,40,83,Yes,Yes,Yes,2018
M05362,Rheumatoid heart disease with rheumatoid arthritis of left knee,40,40,83,Yes,Yes,Yes,2018
M05369,Rheumatoid heart disease with rheumatoid arthritis of unspecified knee,40,40,83,Yes,Yes,Yes,2018
M05371,Rheumatoid heart disease with rheumatoid arthritis of right ankle and foot,40,40,83,Yes,Yes,Yes,2018
M05372,Rheumatoid heart disease with rheumatoid arthritis of left ankle and foot,40,40,83,Yes,Yes,Yes,2018
M05379,Rheumatoid heart disease with rheumatoid arthritis of unspecified ankle and foot,40,40,83,Yes,Yes,Yes,2018
M0539,Rheumatoid heart disease with rheumatoid arthritis of multiple sites,40,40,83,Yes,Yes,Yes,2018
M0540,Rheumatoid myopathy with rheumatoid arthritis of unspecified site,40,40,83,Yes,Yes,Yes,2018
M0540,Rheumatoid myopathy with rheumatoid arthritis of unspecified site,75,,,Yes,--,--,2018
M05411,Rheumatoid myopathy with rheumatoid arthritis of right shoulder,40,40,83,Yes,Yes,Yes,2018
M05411,Rheumatoid myopathy with rheumatoid arthritis of right shoulder,75,,,Yes,--,--,2018
M05412,Rheumatoid myopathy with rheumatoid arthritis of left shoulder,40,40,83,Yes,Yes,Yes,2018
M05412,Rheumatoid myopathy with rheumatoid arthritis of left shoulder,75,,,Yes,--,--,2018
M05419,Rheumatoid myopathy with rheumatoid arthritis of unspecified shoulder,40,40,83,Yes,Yes,Yes,2018
M05419,Rheumatoid myopathy with rheumatoid arthritis of unspecified shoulder,75,,,Yes,--,--,2018
M05421,Rheumatoid myopathy with rheumatoid arthritis of right elbow,40,40,83,Yes,Yes,Yes,2018
M05421,Rheumatoid myopathy with rheumatoid arthritis of right elbow,75,,,Yes,--,--,2018
M05422,Rheumatoid myopathy with rheumatoid arthritis of left elbow,40,40,83,Yes,Yes,Yes,2018
M05422,Rheumatoid myopathy with rheumatoid arthritis of left elbow,75,,,Yes,--,--,2018
M05429,Rheumatoid myopathy with rheumatoid arthritis of unspecified elbow,40,40,83,Yes,Yes,Yes,2018
M05429,Rheumatoid myopathy with rheumatoid arthritis of unspecified elbow,75,,,Yes,--,--,2018
M05431,Rheumatoid myopathy with rheumatoid arthritis of right wrist,40,40,83,Yes,Yes,Yes,2018
M05431,Rheumatoid myopathy with rheumatoid arthritis of right wrist,75,,,Yes,--,--,2018
M05432,Rheumatoid myopathy with rheumatoid arthritis of left wrist,40,40,83,Yes,Yes,Yes,2018
M05432,Rheumatoid myopathy with rheumatoid arthritis of left wrist,75,,,Yes,--,--,2018
M05439,Rheumatoid myopathy with rheumatoid arthritis of unspecified wrist,40,40,83,Yes,Yes,Yes,2018
M05439,Rheumatoid myopathy with rheumatoid arthritis of unspecified wrist,75,,,Yes,--,--,2018
M05441,Rheumatoid myopathy with rheumatoid arthritis of right hand,40,40,83,Yes,Yes,Yes,2018
M05441,Rheumatoid myopathy with rheumatoid arthritis of right hand,75,,,Yes,--,--,2018
M05442,Rheumatoid myopathy with rheumatoid arthritis of left hand,40,40,83,Yes,Yes,Yes,2018
M05442,Rheumatoid myopathy with rheumatoid arthritis of left hand,75,,,Yes,--,--,2018
M05449,Rheumatoid myopathy with rheumatoid arthritis of unspecified hand,40,40,83,Yes,Yes,Yes,2018
M05449,Rheumatoid myopathy with rheumatoid arthritis of unspecified hand,75,,,Yes,--,--,2018
M05451,Rheumatoid myopathy with rheumatoid arthritis of right hip,40,40,83,Yes,Yes,Yes,2018
M05451,Rheumatoid myopathy with rheumatoid arthritis of right hip,75,,,Yes,--,--,2018
M05452,Rheumatoid myopathy with rheumatoid arthritis of left hip,40,40,83,Yes,Yes,Yes,2018
M05452,Rheumatoid myopathy with rheumatoid arthritis of left hip,75,,,Yes,--,--,2018
M05459,Rheumatoid myopathy with rheumatoid arthritis of unspecified hip,40,40,83,Yes,Yes,Yes,2018
M05459,Rheumatoid myopathy with rheumatoid arthritis of unspecified hip,75,,,Yes,--,--,2018
M05461,Rheumatoid myopathy with rheumatoid arthritis of right knee,40,40,83,Yes,Yes,Yes,2018
M05461,Rheumatoid myopathy with rheumatoid arthritis of right knee,75,,,Yes,--,--,2018
M05462,Rheumatoid myopathy with rheumatoid arthritis of left knee,40,40,83,Yes,Yes,Yes,2018
M05462,Rheumatoid myopathy with rheumatoid arthritis of left knee,75,,,Yes,--,--,2018
M05469,Rheumatoid myopathy with rheumatoid arthritis of unspecified knee,40,40,83,Yes,Yes,Yes,2018
M05469,Rheumatoid myopathy with rheumatoid arthritis of unspecified knee,75,,,Yes,--,--,2018
M05471,Rheumatoid myopathy with rheumatoid arthritis of right ankle and foot,40,40,83,Yes,Yes,Yes,2018
M05471,Rheumatoid myopathy with rheumatoid arthritis of right ankle and foot,75,,,Yes,--,--,2018
M05472,Rheumatoid myopathy with rheumatoid arthritis of left ankle and foot,40,40,83,Yes,Yes,Yes,2018
M05472,Rheumatoid myopathy with rheumatoid arthritis of left ankle and foot,75,,,Yes,--,--,2018
M05479,Rheumatoid myopathy with rheumatoid arthritis of unspecified ankle and foot,40,40,83,Yes,Yes,Yes,2018
M05479,Rheumatoid myopathy with rheumatoid arthritis of unspecified ankle and foot,75,,,Yes,--,--,2018
M0549,Rheumatoid myopathy with rheumatoid arthritis of multiple sites,40,40,83,Yes,Yes,Yes,2018
M0549,Rheumatoid myopathy with rheumatoid arthritis of multiple sites,75,,,Yes,--,--,2018
M0550,Rheumatoid polyneuropathy with rheumatoid arthritis of unspecified site,40,40,83,Yes,Yes,Yes,2018
M0550,Rheumatoid polyneuropathy with rheumatoid arthritis of unspecified site,75,75,159,Yes,Yes,Yes,2018
M05511,Rheumatoid polyneuropathy with rheumatoid arthritis of right shoulder,40,40,83,Yes,Yes,Yes,2018
M05511,Rheumatoid polyneuropathy with rheumatoid arthritis of right shoulder,75,75,159,Yes,Yes,Yes,2018
M05512,Rheumatoid polyneuropathy with rheumatoid arthritis of left shoulder,40,40,83,Yes,Yes,Yes,2018
M05512,Rheumatoid polyneuropathy with rheumatoid arthritis of left shoulder,75,75,159,Yes,Yes,Yes,2018
M05519,Rheumatoid polyneuropathy with rheumatoid arthritis of unspecified shoulder,40,40,83,Yes,Yes,Yes,2018
M05519,Rheumatoid polyneuropathy with rheumatoid arthritis of unspecified shoulder,75,75,159,Yes,Yes,Yes,2018
M05521,Rheumatoid polyneuropathy with rheumatoid arthritis of right elbow,40,40,83,Yes,Yes,Yes,2018
M05521,Rheumatoid polyneuropathy with rheumatoid arthritis of right elbow,75,75,159,Yes,Yes,Yes,2018
M05522,Rheumatoid polyneuropathy with rheumatoid arthritis of left elbow,40,40,83,Yes,Yes,Yes,2018
M05522,Rheumatoid polyneuropathy with rheumatoid arthritis of left elbow,75,75,159,Yes,Yes,Yes,2018
M05529,Rheumatoid polyneuropathy with rheumatoid arthritis of unspecified elbow,40,40,83,Yes,Yes,Yes,2018
M05529,Rheumatoid polyneuropathy with rheumatoid arthritis of unspecified elbow,75,75,159,Yes,Yes,Yes,2018
M05531,Rheumatoid polyneuropathy with rheumatoid arthritis of right wrist,40,40,83,Yes,Yes,Yes,2018
M05531,Rheumatoid polyneuropathy with rheumatoid arthritis of right wrist,75,75,159,Yes,Yes,Yes,2018
M05532,Rheumatoid polyneuropathy with rheumatoid arthritis of left wrist,40,40,83,Yes,Yes,Yes,2018
M05532,Rheumatoid polyneuropathy with rheumatoid arthritis of left wrist,75,75,159,Yes,Yes,Yes,2018
M05539,Rheumatoid polyneuropathy with rheumatoid arthritis of unspecified wrist,40,40,83,Yes,Yes,Yes,2018
M05539,Rheumatoid polyneuropathy with rheumatoid arthritis of unspecified wrist,75,75,159,Yes,Yes,Yes,2018
M05541,Rheumatoid polyneuropathy with rheumatoid arthritis of right hand,40,40,83,Yes,Yes,Yes,2018
M05541,Rheumatoid polyneuropathy with rheumatoid arthritis of right hand,75,75,159,Yes,Yes,Yes,2018
M05542,Rheumatoid polyneuropathy with rheumatoid arthritis of left hand,40,40,83,Yes,Yes,Yes,2018
M05542,Rheumatoid polyneuropathy with rheumatoid arthritis of left hand,75,75,159,Yes,Yes,Yes,2018
M05549,Rheumatoid polyneuropathy with rheumatoid arthritis of unspecified hand,40,40,83,Yes,Yes,Yes,2018
M05549,Rheumatoid polyneuropathy with rheumatoid arthritis of unspecified hand,75,75,159,Yes,Yes,Yes,2018
M05551,Rheumatoid polyneuropathy with rheumatoid arthritis of right hip,40,40,83,Yes,Yes,Yes,2018
M05551,Rheumatoid polyneuropathy with rheumatoid arthritis of right hip,75,75,159,Yes,Yes,Yes,2018
M05552,Rheumatoid polyneuropathy with rheumatoid arthritis of left hip,40,40,83,Yes,Yes,Yes,2018
M05552,Rheumatoid polyneuropathy with rheumatoid arthritis of left hip,75,75,159,Yes,Yes,Yes,2018
M05559,Rheumatoid polyneuropathy with rheumatoid arthritis of unspecified hip,40,40,83,Yes,Yes,Yes,2018
M05559,Rheumatoid polyneuropathy with rheumatoid arthritis of unspecified hip,75,75,159,Yes,Yes,Yes,2018
M05561,Rheumatoid polyneuropathy with rheumatoid arthritis of right knee,40,40,83,Yes,Yes,Yes,2018
M05561,Rheumatoid polyneuropathy with rheumatoid arthritis of right knee,75,75,159,Yes,Yes,Yes,2018
M05562,Rheumatoid polyneuropathy with rheumatoid arthritis of left knee,40,40,83,Yes,Yes,Yes,2018
M05562,Rheumatoid polyneuropathy with rheumatoid arthritis of left knee,75,75,159,Yes,Yes,Yes,2018
M05569,Rheumatoid polyneuropathy with rheumatoid arthritis of unspecified knee,40,40,83,Yes,Yes,Yes,2018
M05569,Rheumatoid polyneuropathy with rheumatoid arthritis of unspecified knee,75,75,159,Yes,Yes,Yes,2018
M05571,Rheumatoid polyneuropathy with rheumatoid arthritis of right ankle and foot,40,40,83,Yes,Yes,Yes,2018
M05571,Rheumatoid polyneuropathy with rheumatoid arthritis of right ankle and foot,75,75,159,Yes,Yes,Yes,2018
M05572,Rheumatoid polyneuropathy with rheumatoid arthritis of left ankle and foot,40,40,83,Yes,Yes,Yes,2018
M05572,Rheumatoid polyneuropathy with rheumatoid arthritis of left ankle and foot,75,75,159,Yes,Yes,Yes,2018
M05579,Rheumatoid polyneuropathy with rheumatoid arthritis of unspecified ankle and foot,40,40,83,Yes,Yes,Yes,2018
M05579,Rheumatoid polyneuropathy with rheumatoid arthritis of unspecified ankle and foot,75,75,159,Yes,Yes,Yes,2018
M0559,Rheumatoid polyneuropathy with rheumatoid arthritis of multiple sites,40,40,83,Yes,Yes,Yes,2018
M0559,Rheumatoid polyneuropathy with rheumatoid arthritis of multiple sites,75,75,159,Yes,Yes,Yes,2018
M0560,Rheumatoid arthritis of unspecified site with involvement of other organs and systems,40,40,83,Yes,Yes,Yes,2018
M05611,Rheumatoid arthritis of right shoulder with involvement of other organs and systems,40,40,83,Yes,Yes,Yes,2018
M05612,Rheumatoid arthritis of left shoulder with involvement of other organs and systems,40,40,83,Yes,Yes,Yes,2018
M05619,Rheumatoid arthritis of unspecified shoulder with involvement of other organs and systems,40,40,83,Yes,Yes,Yes,2018
M05621,Rheumatoid arthritis of right elbow with involvement of other organs and systems,40,40,83,Yes,Yes,Yes,2018
M05622,Rheumatoid arthritis of left elbow with involvement of other organs and systems,40,40,83,Yes,Yes,Yes,2018
M05629,Rheumatoid arthritis of unspecified elbow with involvement of other organs and systems,40,40,83,Yes,Yes,Yes,2018
M05631,Rheumatoid arthritis of right wrist with involvement of other organs and systems,40,40,83,Yes,Yes,Yes,2018
M05632,Rheumatoid arthritis of left wrist with involvement of other organs and systems,40,40,83,Yes,Yes,Yes,2018
M05639,Rheumatoid arthritis of unspecified wrist with involvement of other organs and systems,40,40,83,Yes,Yes,Yes,2018
M05641,Rheumatoid arthritis of right hand with involvement of other organs and systems,40,40,83,Yes,Yes,Yes,2018
M05642,Rheumatoid arthritis of left hand with involvement of other organs and systems,40,40,83,Yes,Yes,Yes,2018
M05649,Rheumatoid arthritis of unspecified hand with involvement of other organs and systems,40,40,83,Yes,Yes,Yes,2018
M05651,Rheumatoid arthritis of right hip with involvement of other organs and systems,40,40,83,Yes,Yes,Yes,2018
M05652,Rheumatoid arthritis of left hip with involvement of other organs and systems,40,40,83,Yes,Yes,Yes,2018
M05659,Rheumatoid arthritis of unspecified hip with involvement of other organs and systems,40,40,83,Yes,Yes,Yes,2018
M05661,Rheumatoid arthritis of right knee with involvement of other organs and systems,40,40,83,Yes,Yes,Yes,2018
M05662,Rheumatoid arthritis of left knee with involvement of other organs and systems,40,40,83,Yes,Yes,Yes,2018
M05669,Rheumatoid arthritis of unspecified knee with involvement of other organs and systems,40,40,83,Yes,Yes,Yes,2018
M05671,Rheumatoid arthritis of right ankle and foot with involvement of other organs and systems,40,40,83,Yes,Yes,Yes,2018
M05672,Rheumatoid arthritis of left ankle and foot with involvement of other organs and systems,40,40,83,Yes,Yes,Yes,2018
M05679,Rheumatoid arthritis of unspecified ankle and foot with involvement of other organs and systems,40,40,83,Yes,Yes,Yes,2018
M0569,Rheumatoid arthritis of multiple sites with involvement of other organs and systems,40,40,83,Yes,Yes,Yes,2018
M0570,Rheumatoid arthritis with rheumatoid factor of unspecified site without organ or systems involvement,40,40,83,Yes,Yes,Yes,2018
M05711,Rheumatoid arthritis with rheumatoid factor of right shoulder without organ or systems involvement,40,40,83,Yes,Yes,Yes,2018
M05712,Rheumatoid arthritis with rheumatoid factor of left shoulder without organ or systems involvement,40,40,83,Yes,Yes,Yes,2018
M05719,Rheumatoid arthritis with rheumatoid factor of unspecified shoulder without organ or systems involvement,40,40,83,Yes,Yes,Yes,2018
M05721,Rheumatoid arthritis with rheumatoid factor of right elbow without organ or systems involvement,40,40,83,Yes,Yes,Yes,2018
M05722,Rheumatoid arthritis with rheumatoid factor of left elbow without organ or systems involvement,40,40,83,Yes,Yes,Yes,2018
M05729,Rheumatoid arthritis with rheumatoid factor of unspecified elbow without organ or systems involvement,40,40,83,Yes,Yes,Yes,2018
M05731,Rheumatoid arthritis with rheumatoid factor of right wrist without organ or systems involvement,40,40,83,Yes,Yes,Yes,2018
M05732,Rheumatoid arthritis with rheumatoid factor of left wrist without organ or systems involvement,40,40,83,Yes,Yes,Yes,2018
M05739,Rheumatoid arthritis with rheumatoid factor of unspecified wrist without organ or systems involvement,40,40,83,Yes,Yes,Yes,2018
M05741,Rheumatoid arthritis with rheumatoid factor of right hand without organ or systems involvement,40,40,83,Yes,Yes,Yes,2018
M05742,Rheumatoid arthritis with rheumatoid factor of left hand without organ or systems involvement,40,40,83,Yes,Yes,Yes,2018
M05749,Rheumatoid arthritis with rheumatoid factor of unspecified hand without organ or systems involvement,40,40,83,Yes,Yes,Yes,2018
M05751,Rheumatoid arthritis with rheumatoid factor of right hip without organ or systems involvement,40,40,83,Yes,Yes,Yes,2018
M05752,Rheumatoid arthritis with rheumatoid factor of left hip without organ or systems involvement,40,40,83,Yes,Yes,Yes,2018
M05759,Rheumatoid arthritis with rheumatoid factor of unspecified hip without organ or systems involvement,40,40,83,Yes,Yes,Yes,2018
M05761,Rheumatoid arthritis with rheumatoid factor of right knee without organ or systems involvement,40,40,83,Yes,Yes,Yes,2018
M05762,Rheumatoid arthritis with rheumatoid factor of left knee without organ or systems involvement,40,40,83,Yes,Yes,Yes,2018
M05769,Rheumatoid arthritis with rheumatoid factor of unspecified knee without organ or systems involvement,40,40,83,Yes,Yes,Yes,2018
M05771,Rheumatoid arthritis with rheumatoid factor of right ankle and foot without organ or systems involvement,40,40,83,Yes,Yes,Yes,2018
M05772,Rheumatoid arthritis with rheumatoid factor of left ankle and foot without organ or systems involvement,40,40,83,Yes,Yes,Yes,2018
M05779,Rheumatoid arthritis with rheumatoid factor of unspecified ankle and foot without organ or systems involvement,40,40,83,Yes,Yes,Yes,2018
M0579,Rheumatoid arthritis with rheumatoid factor of multiple sites without organ or systems involvement,40,40,83,Yes,Yes,Yes,2018
M0580,Other rheumatoid arthritis with rheumatoid factor of unspecified site,40,40,83,Yes,Yes,Yes,2018
M05811,Other rheumatoid arthritis with rheumatoid factor of right shoulder,40,40,83,Yes,Yes,Yes,2018
M05812,Other rheumatoid arthritis with rheumatoid factor of left shoulder,40,40,83,Yes,Yes,Yes,2018
M05819,Other rheumatoid arthritis with rheumatoid factor of unspecified shoulder,40,40,83,Yes,Yes,Yes,2018
M05821,Other rheumatoid arthritis with rheumatoid factor of right elbow,40,40,83,Yes,Yes,Yes,2018
M05822,Other rheumatoid arthritis with rheumatoid factor of left elbow,40,40,83,Yes,Yes,Yes,2018
M05829,Other rheumatoid arthritis with rheumatoid factor of unspecified elbow,40,40,83,Yes,Yes,Yes,2018
M05831,Other rheumatoid arthritis with rheumatoid factor of right wrist,40,40,83,Yes,Yes,Yes,2018
M05832,Other rheumatoid arthritis with rheumatoid factor of left wrist,40,40,83,Yes,Yes,Yes,2018
M05839,Other rheumatoid arthritis with rheumatoid factor of unspecified wrist,40,40,83,Yes,Yes,Yes,2018
M05841,Other rheumatoid arthritis with rheumatoid factor of right hand,40,40,83,Yes,Yes,Yes,2018
M05842,Other rheumatoid arthritis with rheumatoid factor of left hand,40,40,83,Yes,Yes,Yes,2018
M05849,Other rheumatoid arthritis with rheumatoid factor of unspecified hand,40,40,83,Yes,Yes,Yes,2018
M05851,Other rheumatoid arthritis with rheumatoid factor of right hip,40,40,83,Yes,Yes,Yes,2018
M05852,Other rheumatoid arthritis with rheumatoid factor of left hip,40,40,83,Yes,Yes,Yes,2018
M05859,Other rheumatoid arthritis with rheumatoid factor of unspecified hip,40,40,83,Yes,Yes,Yes,2018
M05861,Other rheumatoid arthritis with rheumatoid factor of right knee,40,40,83,Yes,Yes,Yes,2018
M05862,Other rheumatoid arthritis with rheumatoid factor of left knee,40,40,83,Yes,Yes,Yes,2018
M05869,Other rheumatoid arthritis with rheumatoid factor of unspecified knee,40,40,83,Yes,Yes,Yes,2018
M05871,Other rheumatoid arthritis with rheumatoid factor of right ankle and foot,40,40,83,Yes,Yes,Yes,2018
M05872,Other rheumatoid arthritis with rheumatoid factor of left ankle and foot,40,40,83,Yes,Yes,Yes,2018
M05879,Other rheumatoid arthritis with rheumatoid factor of unspecified ankle and foot,40,40,83,Yes,Yes,Yes,2018
M0589,Other rheumatoid arthritis with rheumatoid factor of multiple sites,40,40,83,Yes,Yes,Yes,2018
M059,"Rheumatoid arthritis with rheumatoid factor, unspecified",40,40,83,Yes,Yes,Yes,2018
M0600,"Rheumatoid arthritis without rheumatoid factor, unspecified site",40,40,83,Yes,Yes,Yes,2018
M06011,"Rheumatoid arthritis without rheumatoid factor, right shoulder",40,40,83,Yes,Yes,Yes,2018
M06012,"Rheumatoid arthritis without rheumatoid factor, left shoulder",40,40,83,Yes,Yes,Yes,2018
M06019,"Rheumatoid arthritis without rheumatoid factor, unspecified shoulder",40,40,83,Yes,Yes,Yes,2018
M06021,"Rheumatoid arthritis without rheumatoid factor, right elbow",40,40,83,Yes,Yes,Yes,2018
M06022,"Rheumatoid arthritis without rheumatoid factor, left elbow",40,40,83,Yes,Yes,Yes,2018
M06029,"Rheumatoid arthritis without rheumatoid factor, unspecified elbow",40,40,83,Yes,Yes,Yes,2018
M06031,"Rheumatoid arthritis without rheumatoid factor, right wrist",40,40,83,Yes,Yes,Yes,2018
M06032,"Rheumatoid arthritis without rheumatoid factor, left wrist",40,40,83,Yes,Yes,Yes,2018
M06039,"Rheumatoid arthritis without rheumatoid factor, unspecified wrist",40,40,83,Yes,Yes,Yes,2018
M06041,"Rheumatoid arthritis without rheumatoid factor, right hand",40,40,83,Yes,Yes,Yes,2018
M06042,"Rheumatoid arthritis without rheumatoid factor, left hand",40,40,83,Yes,Yes,Yes,2018
M06049,"Rheumatoid arthritis without rheumatoid factor, unspecified hand",40,40,83,Yes,Yes,Yes,2018
M06051,"Rheumatoid arthritis without rheumatoid factor, right hip",40,40,83,Yes,Yes,Yes,2018
M06052,"Rheumatoid arthritis without rheumatoid factor, left hip",40,40,83,Yes,Yes,Yes,2018
M06059,"Rheumatoid arthritis without rheumatoid factor, unspecified hip",40,40,83,Yes,Yes,Yes,2018
M06061,"Rheumatoid arthritis without rheumatoid factor, right knee",40,40,83,Yes,Yes,Yes,2018
M06062,"Rheumatoid arthritis without rheumatoid factor, left knee",40,40,83,Yes,Yes,Yes,2018
M06069,"Rheumatoid arthritis without rheumatoid factor, unspecified knee",40,40,83,Yes,Yes,Yes,2018
M06071,"Rheumatoid arthritis without rheumatoid factor, right ankle and foot",40,40,83,Yes,Yes,Yes,2018
M06072,"Rheumatoid arthritis without rheumatoid factor, left ankle and foot",40,40,83,Yes,Yes,Yes,2018
M06079,"Rheumatoid arthritis without rheumatoid factor, unspecified ankle and foot",40,40,83,Yes,Yes,Yes,2018
M0608,"Rheumatoid arthritis without rheumatoid factor, vertebrae",40,40,83,Yes,Yes,Yes,2018
M0609,"Rheumatoid arthritis without rheumatoid factor, multiple sites",40,40,83,Yes,Yes,Yes,2018
M061,Adult-onset Still's disease,40,40,83,Yes,Yes,Yes,2018
M0620,"Rheumatoid bursitis, unspecified site",40,40,83,Yes,Yes,Yes,2018
M06211,"Rheumatoid bursitis, right shoulder",40,40,83,Yes,Yes,Yes,2018
M06212,"Rheumatoid bursitis, left shoulder",40,40,83,Yes,Yes,Yes,2018
M06219,"Rheumatoid bursitis, unspecified shoulder",40,40,83,Yes,Yes,Yes,2018
M06221,"Rheumatoid bursitis, right elbow",40,40,83,Yes,Yes,Yes,2018
M06222,"Rheumatoid bursitis, left elbow",40,40,83,Yes,Yes,Yes,2018
M06229,"Rheumatoid bursitis, unspecified elbow",40,40,83,Yes,Yes,Yes,2018
M06231,"Rheumatoid bursitis, right wrist",40,40,83,Yes,Yes,Yes,2018
M06232,"Rheumatoid bursitis, left wrist",40,40,83,Yes,Yes,Yes,2018
M06239,"Rheumatoid bursitis, unspecified wrist",40,40,83,Yes,Yes,Yes,2018
M06241,"Rheumatoid bursitis, right hand",40,40,83,Yes,Yes,Yes,2018
M06242,"Rheumatoid bursitis, left hand",40,40,83,Yes,Yes,Yes,2018
M06249,"Rheumatoid bursitis, unspecified hand",40,40,83,Yes,Yes,Yes,2018
